Algorithm,Preprocessing,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
Hierarchical,none,2,0.6863930543445408,501.9248640964316,0.3835952094491397
Hierarchical,none,3,0.5540972908150553,556.841121636393,0.6566044124178414
Hierarchical,none,4,0.4887398491004218,513.7721643772164,0.7956018634867057
Hierarchical,normalize,2,0.5753869579723335,237.82590430675975,0.5963088291305927
Hierarchical,normalize,3,0.44553956399200406,220.2604374375408,0.805940469032997
Hierarchical,normalize,4,0.3993263633623272,198.7303147351156,0.9810810481893735
Hierarchical,pca,2,0.6130367695437592,280.12450676089117,0.548032438015517
Hierarchical,pca,3,0.5102944441771632,283.10742348498894,0.7071797377822829
Hierarchical,pca,4,0.4603042070502069,253.90811218806286,0.7104735648171016
Hierarchical,t+n,2,0.5808632421405281,245.12077009639012,0.5877392033896293
Hierarchical,t+n,3,0.47787722122246395,223.37040351355517,0.7445456304099164
Hierarchical,t+n,4,0.4264663846698638,211.65559765871356,0.9038104069383488
Hierarchical,t+n+pca,2,0.6129077960613463,274.04002336972076,0.5370753396501691
Hierarchical,t+n+pca,3,0.521499773364516,254.67006430564558,0.6378772849109402
Hierarchical,t+n+pca,4,0.48321646258933537,264.0747125451695,0.714507765387592
Hierarchical,transform,2,0.5808632421504947,245.12077009639015,0.5877392033896293
Hierarchical,transform,3,0.4778772212349436,223.37040351355515,0.7445456304099162
Hierarchical,transform,4,0.42646638468234327,211.6555976587136,0.9038104069383486
KMeans,none,2,0.6808136202936816,513.3038433517568,0.40483413639182975
KMeans,none,3,0.5525919445499757,560.3999242466402,0.662322864989869
KMeans,none,4,0.4978256901095472,529.3982941434155,0.78064003623761
KMeans,normalize,2,0.580184463257396,248.90342786485118,0.5975546650809878
KMeans,normalize,3,0.4589717867018717,239.34180132491107,0.8354098493935598
KMeans,normalize,4,0.38528456243462456,206.0928744073614,0.8727285548092258
KMeans,pca,2,0.6130367695437592,280.12450676089117,0.548032438015517
KMeans,pca,3,0.5081546339516392,290.36621819711024,0.7120819158571118
KMeans,pca,4,0.4470197964279309,263.47257130086075,0.738807186465563
KMeans,t+n,2,0.5857131503192615,257.3358006230573,0.5895309137593461
KMeans,t+n,3,0.4564285927032638,244.4173471448717,0.8427544714250196
KMeans,t+n,4,0.4190405530247889,212.4082938371845,0.9288790633538058
KMeans,t+n+pca,2,0.6178038790468975,288.73786765708047,0.5390239645470817
KMeans,t+n+pca,3,0.5037974229282697,295.06887855251915,0.7309730643672366
KMeans,t+n+pca,4,0.48239635336231135,268.9792056980469,0.7467044660306834
KMeans,transform,2,0.5857131503289871,257.3358006230573,0.589530913759346
KMeans,transform,3,0.4564285927148567,244.41734714487166,0.8427544714250196
KMeans,transform,4,0.41904055303726845,212.4082938371845,0.9288790633538051
MeanShift,none,2,0.68548158489118,508.8821831629575,0.3892910671661126
MeanShift,none,3,0.68548158489118,508.8821831629575,0.3892910671661126
MeanShift,none,4,0.68548158489118,508.8821831629575,0.3892910671661126
MeanShift,normalize,2,0.580184463257396,248.90342786485118,0.5975546650809878
MeanShift,normalize,3,0.580184463257396,248.90342786485118,0.5975546650809878
MeanShift,normalize,4,0.580184463257396,248.90342786485118,0.5975546650809878
MeanShift,pca,2,0.6130367695437592,280.12450676089117,0.548032438015517
MeanShift,pca,3,0.6130367695437592,280.12450676089117,0.548032438015517
MeanShift,pca,4,0.6130367695437592,280.12450676089117,0.548032438015517
